,CO2emissions,carbondioxidedamage,netforestdepletion,consumptionoffixedcapital,mineraldepletion,energydepletion,particulateemissiondamage
Aruba,8.408362638,25419786.41,53990.49828,,0,0,
Afghanistan,0.299444991,285705582.5,32477495.48,2767056345,1099296.945,26589706.22,841257292.3
Angola,1.291328315,1012519223,349660345.7,37237634560,0,24052916376,1027764181
Albania,1.978763312,166510281.6,9421129.227,1363731442,27332780.51,294335650.4,33833615.87
Andorra,5.832169951,13457533.98,,330849889.2,0,,
United Arab Emirates,23.30202251,6156394573,0,14228859462,0,24984431836,606639709.8
Argentina,4.746797455,5942462505,78158496.95,50983409129,1493738459,10140791133,628348844.6
Armenia,1.90275891,161063184.5,17222623.01,1476177690,224366557.8,0,71845191.53
American Samoa,,10395020.71,,,0,0,
Antigua and Barbuda,5.377648546,15486844.66,,134091750.4,0,0,
Australia,15.37013776,10522189485,0,2.57723E+11,30781717178,9686507254,383682321.4
Austria,6.86986793,1710068068,12260211.48,79676521819,20298810.02,412258972.2,227976913.5
Azerbaijan,3.931560609,1091875951,0,4419602354,44055216.3,10396281666,155981943.3
Burundi,0.044485376,12816699.03,417832342.3,368978383.4,10534053.68,0,55903563.25
Belgium,8.328159898,2718955893,6698357.945,1.03769E+11,0,0,346714434.6
Benin,0.614213852,184026436.9,136564067.6,1385542372,439718.7782,0,170446369.3
Burkina Faso,0.162018806,82988126.21,663419534.1,993375685.4,826033911.5,0,235763531.7
Bangladesh,0.459141965,2131737466,299698264.7,14990005846,0,1332388018,1639948370
Bulgaria,5.871615869,1235422981,0,8384919201,397283481.3,43010488.16,176020902
Bahrain,23.44975483,912762582.5,298415.994,1750331846,0,2348745213,25813314.08
"Bahamas, The",6.323257512,70385038.83,0,784410160.4,0,0,12764144.47
Bosnia and Herzegovina,6.234719162,647563718.4,35760238.52,2517191311,27055918.9,6048952.033,85034444.92
Belarus,6.701957705,1849449670,46234059.26,6582653009,0,271878837.3,185672908.8
Belize,1.407601494,14418786.41,0,267431492.2,0,29375545.02,4414844.276
Bermuda,8.838314988,16768514.56,,,0,0,
Bolivia,1.932419499,594481223.3,0,3682587378,893909972.7,1844319274,
Brazil,2.594388285,15431305631,2193885176,2.83132E+11,17492997949,31483056967,3731436875
Barbados,4.490177673,37061621.36,0,491400286.4,0,17214646.08,6895204.518
Brunei Darussalam,22.12470124,265305669.9,0,1683538892,0,1833872500,8236402.429
Bhutan,1.289321371,29157990.29,39525604.54,147951516.4,273772.1893,0,21536806.63
Botswana,3.243287637,204853572.8,0,3339776764,219810812.9,28428966.36,36777207.93
Central African Republic,0.066593111,8758077.67,0,293111429.7,1263829.198,0,18504485.27
Canada,15.11715878,15646412563,0,2.9459E+11,8783853486,8389074990,885164016.7
Switzerland,4.311562994,1028326485,35783629.26,1.47384E+11,0,1803928.505,361189485.2
Chile,4.687376624,2404733155,0,32924230762,18954800827,98357371.6,276752696.7
China,7.543907641,2.99765E+11,0,2.01798E+12,98064913322,1.06556E+11,44997047135
Cote d'Ivoire,0.490206046,321699145.6,0,847610864.2,380752490,393557337.5,541229223.2
Cameroon,0.314928068,203999126.2,0,4340669273,31595729.96,1376849895,543075279.2
"Congo, Dem. Rep.",0.063369191,136070621.4,3500819121,940371368.2,4763524458,269049359.7,672308460.8
"Congo, Rep.",0.635369293,90144116.5,0,2991657666,3159572.996,3778718109,138485589.7
Colombia,1.759537174,2449271184,61156436.76,44612148865,1864627518,18176980951,551178150.6
Comoros,0.202814119,4485844.66,15138780.51,43138603.98,0,0,11007996.99
Cabo Verde,0.933403237,14311980.58,6766240.077,388809576.2,0,0,8759028.576
Costa Rica,1.630951062,226001126.2,625394896.1,2711137735,7746940.74,0,54967351.08
Cuba,3.045210624,1014655340,0,9385866925,106852309.6,877613739.6,92824106.68
Curacao,37.72628905,171316543.7,,,0,0,
Cayman Islands,9.171838032,15807262.14,,,0,0,
Cyprus,5.260352041,176550029.1,0,3151450284,7562798.066,0,13631338.78
Czech Republic,9.165978376,2809954456,,45230519370,0,139811639.8,208600117.3
Germany,8.889370395,20967478777,0,6.90731E+11,4176479.279,1728276375,2545663624
Djibouti,0.791961752,21040747.57,16733700.61,337060283.8,0,0,17759266.55
Dominica,1.864285911,3951815.534,0,93504142.93,0,0,
Denmark,5.935712482,975671213.6,0,59803254073,0,2997559242,189070599.3
Dominican Republic,2.069986634,627377417.5,25633208.17,3194636473,812693934.3,0,202196416.4
Algeria,3.717409901,4234957777,303355385.1,15783313458,17539286.78,23213347232,248225458.6
Ecuador,2.761702175,1279213369,227580927.2,13060201052,141364886.2,5429517992,134769241
"Egypt, Arab Rep.",2.198980246,5880408320,803880909.4,16920107531,332000126.7,17403822368,1933173710
Eritrea,,20293106.8,58685095.76,,240009431.7,0,
Spain,5.033824487,6814852485,0,2.45144E+11,281562280.6,43795678.58,681980724.9
Estonia,14.84881917,568527407.8,0,4115660739,0,46654405.23,28988641.41
Ethiopia,0.119124015,337826825.2,5888958181,7209927375,244340311.7,0,487453848.5
Finland,8.660721243,1377688340,0,52330303528,501549685.9,399402.3233,97206870.99
Fiji,1.320574708,34071058.25,0,480224258.4,28462074.03,0,17447233.5
France,4.573182147,8833268971,0,5.14296E+11,645005.143,214441338.9,1249652056
Faroe Islands,12.23784857,17409349.51,,,0,0,
"Micronesia, Fed. Sts.",1.445435754,4379038.835,0,25207580.98,0,,
Gabon,2.768265721,151237048.5,0,2721090875,21316585.81,2955891044,48645362.98
United Kingdom,6.49744049,12227771709,0,3.92703E+11,0,15859925923,2252465759
Georgia,2.411541991,261781077.7,0,1705823780,94410923.98,4451497.689,116910584.8
Ghana,0.536533378,421348980.6,2456356530,6627472824,1982888433,1630455495,378647811.5
Gibraltar,15.51348493,15380038.83,,,0,0,
Guinea,0.207492621,71346291.26,763610197.1,631728948.2,383253270.6,0,131313337.7
"Gambia, The",0.267684889,14952815.53,68213756.1,177905978.9,0,0,19184175.86
Guinea-Bissau,0.157241167,7903631.068,125007418.6,56113458.38,0,0,23543268.12
Equatorial Guinea,4.733816529,155722893.2,0,2818971835,4397187.782,4722834562,89941870
Greece,6.180337268,1960741340,0,45015802517,171048011.3,47873694.59,227405599.5
Grenada,2.275498308,7049184.466,,181724140.4,0,0,
Greenland,8.989181988,14739203.88,,310995942.9,0,0,
Guatemala,1.150977994,533815514.6,883526438.8,6692995395,346105947.3,128819320.7,368663963.2
Guam,,42412418.53,,,0,0,14269915.44
Guyana,2.632347952,58529592.23,0,124542311.8,233733387.2,0,11151513.52
High income,10.71038322,,,,,,
"Hong Kong SAR, China",6.393600526,1346287427,,54723078234,0,0,
