"","q1_AG2.reporter","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","99"
"1","Afghanistan",0,1024875,0,35977,1463800,0,16303432,135996770,16690601,54000,0,33440157,40098805,0,39647,0,0,0,0,0,0,0,0,0,1069280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14675589,25906,0,0,0,0,0,0,0,0,13423068,17751971,0,0,0,0,70016063,0,0,0,0,0,0,0,0,0,0,6204000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20169695
"2","Albania",609694,1386309,12382090,2984245,4596806,517171,4445428,3844451,1157363,59546,6751,20947664,229791,18692,1008504,24895617,112653,88273,557258,3418839,76206,1667936,4590,4220099,45197125,107608540,278763206,417647,34747,1621070,379379,1031716,755975,126105,122735,151728,14971,819836,9317980,1529890,21962145,2576435,103003,15248339,461,16509,179398,19625002,10951395,0,163365,633200,99,102454,124676,1224181,220003,3642,89659,53994,120073066,159328752,8360496,243250008,177743,26316,0,2246400,3889398,2571725,3917506,179934746,3628826,33116981,81682,26863578,5881770,121075,0,28089,365437,51367967,12563087,47175007,683084,3015048,1681933,11097,1662654,4966,32539,3724535,15452254,5946607,936559,1428209,1
"3","Algeria",4396,26622,5974823,1104456,32462,9205,5207195,22700963,22512,1573958,3688,5311323,0,51,9457963,869291,233695313,2941963,1290332,542311,127455,28626884,0,410768,54664005,5934877,56087312993,240990621,59545359,1331939,2593890,14753,1070693,3819331,1047,111707,0,860601,5089090,11777653,19257283,3384,0,1325,3113884,0,4825165,3294524,1246888,0,0,3115,0,977,0,247586,148709,113508,0,0,33504,58890,193820,12580,717,73,0,2737392,1172671,27070880,8277939,77452847,3041967,2672919,0,7872783,8735697,61417505,0,0,4493059,424565,8079264,5169554,21809,847448,60765,0,3626807,3614,535,0,147974,1851,34756,547,0
"4","Andorra",93535,449304,0,3713,1772,0,0,0,26008,0,0,0,0,0,27972,0,10320,0,0,1133,3962,73749,0,71859,328827,15484,1584,0,0,22708,30,22860,2500910,14874,10024,178,2909,40345,1130809,105219,48421,835658,28367,1186997,0,0,1402122,1176626,1720307,0,0,3926,3661,1147,0,1236566,152647,612479,173070,0,1560230,2786902,3398442,1167568,939980,363,1434,200179,64243,418770,4361284,2112819,3459333,934301,0,682117,8241,11455,205,0,230711,12967,4248011,24800013,25930,13148544,41207,96882,9629995,1150605,564346,135987,1416193,401881,56192,709209,346
"5","Angola",0,0,28075125,0,0,0,0,0,569625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51511230653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072039839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Antigua and Barbuda",241520,4190,399917,90,0,2425,6665,667,886,0,12442,3899,0,0,275,324,234,21873,6171,184,140356,1670115,1685,0,1713,0,1277083,80660,78504,75322,2221,492429,30028,2909,856,0,24501,17052,157245,6825,175,22218,0,112621,0,364,0,25747,357916,0,0,0,0,130,710,493340,5729,36,5934,0,44787,435124,6162719,29359,1385,3199,364,14900,91538,119682,1215469,754988,1293030,11789,0,77914,0,0,0,37,251393,6578,1340072,8747644,14167,1464616,257661,1328505,2449564,1139794,24394,259,1266946,429921,4507,50982,8815
"7","Argentina",25658397,1693981055,1306599630,1060938953,76104092,3142507,643465693,1203253838,140645976,4621947807,584169177,5338366570,3498011,8713075,5192346433,214048930,298701736,137734830,331712441,942762437,177261900,850712797,8783132502,308447659,107439084,1820067344,5388134753,284864117,514256497,693215654,61671929,187981002,657507307,190354264,250786848,6918704,82789245,1932609715,1346572985,386041044,1001115229,36197566,36447718,274811923,1350142,46848,180286995,454231459,82135549,1691,232045224,98003835,67764,55086906,9925769,76300845,8937896,18563133,51482094,12896933,54959692,32701602,14890429,30189707,1742774,329881,407229,75229393,68053800,48989424,2258093707,504490696,1201448695,23425653,124522,762677114,51067450,18468013,24049,2349001,35415608,50789327,1691985397,508750586,12288932,7972844346,602944800,38222427,190503003,1459234,1706817,20115525,120439725,15513615,15325435,7711336,1250275178
"8","Armenia",921942,55804,7705696,1985052,44424,6720,1997192,6841638,6060208,6994,37691,126083,890,0,28936,1348641,1561996,789940,316459,8678995,917517,109130741,71510,8307212,5499416,230163332,40829201,1887848,481623,5013630,41455,914270,7730,525590,193096,37336,22013,115832,6540681,8921461,370103,1106342,2120,693861,43630,0,2609,321707,308775,0,3706,9462,762,60740,116795,755936,93314,397,69313,1826,1675118,3357492,318141,1332900,25795,54134,0,4483957,112942,11470870,133242754,129817326,3255620,99679412,0,83337480,283372,0,0,15524324,193291,286557,16235508,13667181,1373550,1058361,214406,0,3333333,3932605,6925,0,726112,613881,16062,58195,19638951
"9","Aruba",25779,141112,16353,74186,140,2022,53797,25132,3009,228087,1904,103,166082,0,1427,15862,4871,75973,40291,153832,68404,63175956,1,38310649,8957,0,132550,349505,4655,259820,7005,167233,1713304,41769,9244,16920,3226,265698,119497,153892,0,43458,0,10404,0,0,0,246741,60796,0,0,84,0,143,615,10183,743,475,9370,0,392076,262084,39848,25837,4374,1955,7,40373,24026,94373,4112118,238504,1692417,9589,0,523923,20,0,0,0,281787,33263,1433785,832899,2759,2486624,11816,14920,469194,226269,9763,8413,134920,386929,119373,30218,4357494
